Fri Sep 23 08:57:35 2022 | SERVER-CONNECT [socket-216]
Fri Sep 23 08:57:36 2022 | SERVER << socket-216:test
Fri Sep 23 08:57:36 2022 | SERVER >> socket-216:Unexpected command.
Fri Sep 23 08:57:36 2022 | SERVER >> socket-216:test line
Fri Sep 23 08:57:38 2022 | SERVER << socket-216:help
Fri Sep 23 08:57:38 2022 | SERVER >> socket-216:Unexpected command.
Fri Sep 23 08:57:38 2022 | SERVER >> socket-216:test line
Fri Sep 23 08:57:38 2022 | SERVER << socket-216:Who
Fri Sep 23 08:57:38 2022 | SERVER >> socket-216:Flakey Roman k-23, var 18. Контексний пошук у файлі(ах).
Fri Sep 23 08:57:38 2022 | SERVER >> socket-216:test line
Fri Sep 23 08:58:05 2022 | SERVER << socket-216:Who
Fri Sep 23 08:58:05 2022 | SERVER >> socket-216:Flakey Roman k-23, var 18. Контексний пошук у файлі(ах).
Fri Sep 23 08:58:05 2022 | SERVER >> socket-216:test line
Fri Sep 23 08:58:05 2022 | SERVER-DISCONNECT [socket-216]
Fri Sep 23 08:58:08 2022 | SERVER-CONNECT [socket-216]
Fri Sep 23 08:58:09 2022 | SERVER << socket-216:test
Fri Sep 23 08:58:09 2022 | SERVER >> socket-216:Unexpected command.
Fri Sep 23 08:58:09 2022 | SERVER >> socket-216:test line
Fri Sep 23 08:58:11 2022 | SERVER << socket-216:hello
Fri Sep 23 08:58:11 2022 | SERVER >> socket-216:Unexpected command.
Fri Sep 23 08:58:11 2022 | SERVER >> socket-216:test line
Fri Sep 23 08:58:13 2022 | SERVER << socket-216:Who
Fri Sep 23 08:58:13 2022 | SERVER >> socket-216:Flakey Roman k-23, var 18. Контексний пошук у файлі(ах).
Fri Sep 23 08:58:13 2022 | SERVER >> socket-216:test line
Fri Sep 23 08:58:27 2022 | SERVER << socket-216:sdsg
Fri Sep 23 08:58:27 2022 | SERVER >> socket-216:Unexpected command.
Fri Sep 23 08:58:27 2022 | SERVER >> socket-216:test line
Fri Sep 23 08:58:30 2022 | SERVER << socket-216:asg
Fri Sep 23 08:58:30 2022 | SERVER >> socket-216:Unexpected command.
Fri Sep 23 08:58:30 2022 | SERVER >> socket-216:test line
Fri Sep 23 08:58:35 2022 | SERVER << socket-216:asg
Fri Sep 23 08:58:35 2022 | SERVER >> socket-216:Unexpected command.
Fri Sep 23 08:58:35 2022 | SERVER >> socket-216:test line
Fri Sep 23 08:58:35 2022 | SERVER-DISCONNECT [socket-216]
Fri Sep 23 08:58:37 2022 | SERVER-CONNECT [socket-216]
Fri Sep 23 08:58:39 2022 | SERVER-DISCONNECT [socket-216]
Fri Sep 23 09:04:48 2022 | SERVER-CONNECT [socket-228]
Fri Sep 23 09:04:48 2022 | SERVER << socket-228:test
Fri Sep 23 09:04:48 2022 | SERVER >> socket-228:Unexpected command.
Fri Sep 23 09:04:48 2022 | SERVER >> socket-228:test line
Fri Sep 23 09:04:50 2022 | SERVER << socket-228:help
Fri Sep 23 09:04:50 2022 | SERVER >> socket-228:Unexpected command.
Fri Sep 23 09:04:50 2022 | SERVER >> socket-228:test line
Fri Sep 23 09:04:51 2022 | SERVER << socket-228:Who
Fri Sep 23 09:04:51 2022 | SERVER >> socket-228:Flakey Roman k-23, var 18. Контексний пошук у файлі(ах).
Fri Sep 23 09:04:51 2022 | SERVER >> socket-228:test line
Fri Sep 23 09:05:09 2022 | SERVER << socket-228:Who
Fri Sep 23 09:05:09 2022 | SERVER >> socket-228:Flakey Roman k-23, var 18. Контексний пошук у файлі(ах).
Fri Sep 23 09:05:09 2022 | SERVER >> socket-228:test line
Fri Sep 23 09:05:09 2022 | SERVER-DISCONNECT [socket-228]
Fri Sep 23 09:05:11 2022 | SERVER-CONNECT [socket-216]
Fri Sep 23 09:05:11 2022 | SERVER << socket-216:test
Fri Sep 23 09:05:11 2022 | SERVER >> socket-216:Unexpected command.
Fri Sep 23 09:05:11 2022 | SERVER >> socket-216:test line
Fri Sep 23 09:05:12 2022 | SERVER << socket-216:Who
Fri Sep 23 09:05:12 2022 | SERVER >> socket-216:Flakey Roman k-23, var 18. Контексний пошук у файлі(ах).
Fri Sep 23 09:05:12 2022 | SERVER >> socket-216:test line
Fri Sep 23 09:05:14 2022 | SERVER << socket-216:Who
Fri Sep 23 09:05:14 2022 | SERVER >> socket-216:Flakey Roman k-23, var 18. Контексний пошук у файлі(ах).
Fri Sep 23 09:05:14 2022 | SERVER >> socket-216:test line
Fri Sep 23 09:05:14 2022 | SERVER-DISCONNECT [socket-216]
Fri Sep 23 09:05:41 2022 | SERVER-CONNECT [socket-228]
Fri Sep 23 09:05:42 2022 | SERVER << socket-228:Who
Fri Sep 23 09:05:42 2022 | SERVER >> socket-228:Flakey Roman k-23, var 18. Контексний пошук у файлі(ах).
Fri Sep 23 09:05:42 2022 | SERVER >> socket-228:test line
Fri Sep 23 09:05:43 2022 | SERVER << socket-228:Who
